nama_produk,harga_produk,penjual,kota_toko,banyak_terjual,rating_produk
Seblak kering 90 gram,4999,Anwarul ulum,Kab. Tasikmalaya,30,5.0
SEBLAK INSTAN SAJODO SNACK,18500,Sajodo Snack & Food,Tasikmalaya,100,4.8
seblak kerupuk jengkol daun jeruk isi 500gr AJIP (MS),18000,Mega Snack 095,Cimahi,3,5.0
siomay mini kering / cuanki / batagor / seblak / bakso aci,9500,fahirastores,Kab. Bandung Barat,250,4.9
Kylafood Seblak Rempah Autentik isi (5pcs),61275,kylafood,Bandung,250,4.8
seblak kering kerupuk campur bumbu kacang,15000,abqorycandy,Kab. Bandung,5,5.0
seblak beton cikruh 100grm,8000,Toko Yazid Cita Rasa,Bandung,10,5.0
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,29749,ArfaOnlineShop,Tangerang,100,4.9
[READY MEDAN] Seblak Bandung Instan Super Pedas Termurah Lidah Cuanki,6900,CemilanPuas,Medan,500,4.8
"(COD) seblak kering kerupuk jengkol bumbu basah,pedas",25000,anugrah seblak,Kab. Bandung,60,4.6
Cemilan 250GR Krupuk seblak kering Rafael pedas daun jeruk MEGA SNACK,7520,Mega_Snack_095,Cimahi,12,5.0
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,20000,pelangi khatulistiwa 2,Surabaya,80,4.9
Seblak Instan Premium Bangsatria,21000,Foodstocks,Jakarta Selatan,30,5.0
KRUPUK SEBLAK JENGKOL,8000,NYEMILCEMIL,Kab. Tulungagung,3,4.7
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,18000,Lidigeli,Kab. Garut,500,4.8
Kerupuk RANTAI 250gr SEBLAK Warna Warni,6000,yohangunawan94,Bandung,500,5.0
Seblak Instan Bang Satria Kemasan Premium 1 PCS,21250,Pusat Pajamas Tasik,Tasikmalaya,8,5.0
seblak krupuk kemplang bawang hot pedas gurih 1kg,14999,seblak mitoha,Kab. Bandung,18,4.3
Kerupuk Seblak Mentah 200gr - Krupuk Oren Matahari Pagi MP - Kemplang,4000,Cuanki_Bandung,Kab. Bandung,80,4.9
Kerupuk Seblak bumbu kacang,16000,Allsnackbandung,Bandung,100,4.9
SEBRING 250 GRAM / KERUPUK SEBLAK MAWAR,15500,Dapur Sehat21,Kab. Bandung,30,4.9
seblak ceker pedas,9125,snack_it,Tangerang Selatan,500,4.9
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,Tangerang Selatan,500,4.8
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500,BociKakang,Jakarta Selatan,750,4.8
seblak instant komplit bumbu cikruh bandung aufaro snack,6800,AUFARO SNACK,Kab. Bandung Barat,500,5.0
kerupuk seblak pedas daun jeruk,9900,afif jaya cemilan,Surabaya,100,4.7
Seblak CeuMir Rasa Bawang,35000,Seblak CeuMir,Kab. Bandung,40,5.0
SEBLAK INSTAN TERMURAH,3500,Cemilan-Ce,Kab. Sidoarjo,100,4.9
paket mix 12PCS boci cuanki seblak,38999,nayismail,Cimahi,60,4.9
Kerupuk Seblak Kencur / Seblak Jablay Viral @100-500gr,7200,Toko Camilan Anyar,Surabaya,100,4.9
Kerupuk Seblak Bumbu Kacang (Kerucang) 1kg,53500,Kerucangby2r,Kab. Bandung,30,4.8
"pangsit segitiga, cipet isi 20 pcs topping baso aci dan seblak",6999,Culametan Food,Kab. Garut,20,5.0
Kylafood Seblak Kwetiaw,19975,kylafood,Bandung,4000,4.9
Seblak Rempah Autentik Kyla Food Khas Bandung 115 g,16700,Gerai Snack Official Shop,Kab. Tangerang,60,5.0
siomay kering 1kg isi 150 pcs toping seblak baso aci,34999,CUANKI CULAMETAN,Kab. Garut,90,4.9
Kylafood Mix Pentol Kuah dan Seblak Original,42500,kylafood,Bandung,60,4.9
Kylafood Seblak Kwetiaw play,19975,kylafood,Bandung,500,4.9
Kylafood Seblak Mie Baso,24750,kylafood,Bandung,4000,4.9
Seblak Nyai Mercon,24700,Foodstocks,Jakarta Selatan,10,5.0
Kylafood Seblak Rempah Autentik Isi (24pcs),294120,kylafood,Bandung,15,5.0
(HARGA TERMURAH) seblak instan mantap,3900,baso aci zahra,Kab. Bandung,1000,4.7
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7138,Berkah Food Bandung,Cimahi,7000,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,1000,4.9
bumbu seblak basah instan,26666,Kickball Official,Bandung,250,4.7
kerupuk seblak pedas / kerupuk jablay,15900,CAMILLANS,Jakarta Selatan,30,4.8
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,12500,Pasar Keripik Bandung,Bandung,100,4.9
cuanki tahu panjang atau stik isi 50 pcs toping seblak baso aci,12999,CUANKI CULAMETAN,Kab. Garut,100,4.8
"cuanki tahu kering, batagor kering, isi 50 topping baso aci dan seblak",11999,Culametan Food,Kab. Garut,30,4.9
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,38111,CUANKI CULAMETAN,Kab. Garut,100,4.9
Seblak Pedas Kicimpring Iyagasih,15000,Gerai Singawada,Kab. Majalengka,13,5.0
Kerupuk Tangga / Rante Topping Seblak,4000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100,4.8
KERUPUK SEBLAK BETON BANTAT PEDES GURIH DAUN JERUK 250GRAM,19000,Madinah Oleh Oleh Bdg,Bandung,80,4.9
Kylafood Paket (3 Seblak Original 2 Batagor kuah),95000,kylafood,Bandung,3000,4.9
Sabring kerupuk seblak jablay pedas Jumbo,15000,RIKI STORE 97,Kab. Bogor,28,4.9
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,29000,Lidigeli,Kab. Garut,100,4.9
SEBLAK INSTAN MOMMY,13900,Rav Jaya Display,Kab. Tangerang,1000,4.8
KERUPUK JABLAY BANTET SEBLAK PELANGI,15999,Toko kue Sumber Mas,Jakarta Timur,500,4.9
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg POCO / PUYUR,21750,SuperSnacksShop,Kab. Bandung,100,4.8
Seblak instan / seblak instan BANDUNG / seblak instan pedas,4200,AZKIA RASA,Kab. Tasikmalaya,100,4.9
[TERMURAH!!] Seblak Instant Basranger Extra Pedas 200gram,14500,duniacemilan,Bandung,100,5.0
cuanki tahu panjang isi 150 pcs | toping seblak baso aci,33999,CUANKI CULAMETAN,Kab. Garut,40,4.9
Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,18900,Foodstocks,Jakarta Selatan,80,4.8
cuanki lidah asli garut isi 150 pcs,32500,kira3arut,Kab. Garut,10000,4.9
Cuanki tahu bulat kering 50 pcs toping seblak baso aci,17999,CUANKI CULAMETAN,Kab. Garut,70,4.8
krupuk mentah / seblak / bawang / buryam / lotek / ketoprak 250gr,5400,Paulus Plastik,Kab. Bantul,250,5.0
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500,gaiagarut,Kab. Garut,250,4.8
Cuankie Lidah topping baso aci / seblak,2500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,7000,4.8
Kerupuk seblak bantet pedas 75 gr enak renyah,4500,RIKI STORE 97,Kab. Bogor,40,4.6
Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 gram,5000,DelimaFCB,Surabaya,22,5.0
"Toping Seblak Baso Aci PAKET MIX 100pcs Cuanki Lidah, Siomay dan Baso",31000,gaiagarut,Kab. Garut,500,4.8
seblak Abah aceng paling top pedas mantul,6000,cemilan Bandungstore,Cimahi,80,4.9
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr SLONDOK,5750,SuperSnacksShop,Kab. Bandung,100,4.8
cuanki tahu Geprek tahu Gepeng isi 50 topping baso aci seblak,18999,Culametan Food,Kab. Garut,15,5.0
cuanki lidah 150 pcs toping seblak baso aci,35111,CUANKI CULAMETAN,Kab. Garut,500,4.9
cuanki tahu bulat sohu besar isi 25 toping baso aci dan seblak,8999,Culametan Food,Kab. Garut,13,5.0
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,12000,Foodstocks,Jakarta Selatan,80,5.0
"siomay mini,  gurilem cimol pangsit kiloan 1 kg toping baso aci seblak",24999,Culametan Food,Kab. Garut,4,5.0
[ 500gr ] Kerupuk Seblak Bantet / Seblak Kencur Pedas Daun Jeruk -B,19950,Bara Snack Kediri 1,Kediri,24,5.0
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000,Rasa Juara Indonesia,Kab. Bandung,1000,4.9
Kerupuk seblak 1 kg / kerupuk seblak pedas,35625,Mulya_Snack,Kab.Ciamis,40,4.9
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,55000,global cookware1,Jakarta Barat,100,4.9
"Kerupuk Gelung Mentah 200gr Bahan Seblak, Krupuk, Cemilan, Dll.",5000,Cuanki_Bandung,Kab. Bandung,100,4.9
Kylafood Seblak Tulang Rawan,21675,kylafood,Bandung,8000,4.9
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 250 GRAM,18899,Simshop_,Cimahi,18,5.0
GRATIS KARDUS CUANKI MIX MURAH - BISA COD - TOPING SEBLAK - BASO ACI,30000,Distributor Cuanki dan Seblak,Kab. Bekasi,70,4.9
kerupuk tersanjung atau seblak (250gram),5500,Agenkerupuk99,Surabaya,22,4.7
KRUPUK SEBLAK KERING rasa KENCUR afif jaya cemilan,8900,afif jaya cemilan,Surabaya,60,4.9
seblak frozen,9540,pelangi girls naget,Jakarta Timur,2000,4.9
Cuanki Lidah Ikan Tenggiri (Isi 150 Pc) |Toping Baso aci|Toping seblak,15500,Jagain_id,Kab. Garut,30,4.8
seblak kerupuk kering pedas jeruk isi 500 gram seblak kemplang,25000,Tiga putri77,Kab. Bandung,100,4.9
seblak ceker pedas,10000,Khanza Market,Kab. Tangerang,100,4.9
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,42500,kylafood,Bandung,250,4.8
Seblak Kuah Mamang Rafael Instant Pedas Sunda,27550,Foodstocks,Jakarta Selatan,22,5.0
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,21000,BociKakang,Jakarta Selatan,500,5.0
Kerupuk mawar putih 1kg / kerupuk ikan/kerupuk seblak viral,26000,Semesta kerupuk,Tangerang Selatan,100,4.9
Cuanki Tahu Keriting Panjang Topping Baso Aci / Seblak Khas Garut,14999,Pedas Gilaa,Surabaya,250,5.0
Seblak ceker 2 putra kemasan gopean (500),8800,BAGEAJAYA FOOD,Kab.Ciamis,250,5.0
KERUPUK SEBLAK MENTAH ORANGE 250GR,6000,cemilanmentahjakarta,Jakarta Utara,40,5.0
[READY MEDAN] Kerupuk Bawang Bantet Seblak Pedas Jeruk Murah 100grm,8000,CemilanPuas,Medan,250,4.8
Kylafood Seblak Tulang Rawan Play,21675,kylafood,Bandung,750,4.9
SEBLAK KERING KERUPUK BETON 500GR PEDAS DAUN JERUK,27999,BANDUNG SNACK CENTER.ID,Kab. Bandung,27,4.4
cuanki tahu pasung kering toping seblak baso Aci bakso cuanki 50 pcs,15000,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.8
"Batagor Tahu Kering Mini 50pcs Topping Cuanki, Seblak, Baso, Dll.",6200,Cuanki_Bandung,Kab. Bandung,500,4.8
Omiyago Snack Kerupuk Seblak,6000,omiyago,Jakarta Barat,60,4.9
kerupuk seblak kering pedas daun jeruk 500gr / keripik seblak,25000,cemilan roufa,Medan,8,3.7
krupuk seblak hah pedas gurih 200gr,12000,Markas Makaroni,Kab. Bekasi,1000,4.9
SEBRING CAMPUR/ Seblak kering Bumbu kacang/ varian pedas-original,20000,KailaAini_collection,Kab. Karawang,70,5.0
Kerupuk seblak viral seblak rafael 250 gram,7500,joeragan baroe,Bandung,40,5.0
1KG SEBLAK BETON RENYAH VIRAL Cemilan,42000,Cemilanku Kaya Bumbu,Kab.Ciamis,11,4.5
Krupuk Seblak Pedas,16000,kripikbali,Kab. Badung,60,4.7
Kylafood Seblak karuhun,11475,kylafood,Bandung,4000,4.8
kerupuk seblak kering enak gurih,5000,RIKI STORE 97,Kab. Bogor,250,4.8
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,19700,Gerai Snack Official Shop,Kab. Tangerang,100,4.8
Geli Chips - Seblak Kering ( Sebring ) Kerupuk Mawar Pedas Daun Jeruk 50 gr,10200,Foodstocks,Jakarta Selatan,7,5.0
pilus kencur sukro cikur 250 gram toping baso aci seblak,8999,Culametan Food,Kab. Garut,23,4.7
